day	hour	wt_mean_wdir	nwt_mean_wdir	sd_wdir	mean_speed	speed_sd
2014-01-01	00	131.005171750216	136.644166666667	32.5751623117796	1.15477777777778	0.508285838413932
2014-01-01	01	140.045351636899	157.308934038408	37.6238529456054	0.774478151962149	0.62950595012298
2014-01-01	02	168.798547348225	167.357222222222	53.5977283118894	0.405388888888889	0.13857875781951
2014-01-01	03	64.6143237486688	58.8427777777778	24.2106448554863	1.04333333333333	0.454589757622719
2014-01-01	04	77.5223326767145	98.6836111111111	106.79081955991	0.606361111111111	0.286223618151158
2014-01-01	05	78.0166707646914	76.2958217270195	11.1840878951653	1.13286908077994	0.299391715660192
2014-01-01	06	90.7972884544599	89.7336111111111	9.16259737323095	1.35838888888889	0.24308534511827
2014-01-01	07	185.45146881979	184.442777777778	32.2452837660339	0.808472222222222	0.182699644515807
2014-01-01	08	178.76690497468	182.910539558289	109.889451991631	0.563097567794241	0.263722321378566
2014-01-01	09	134.062632247143	131.603888888889	128.755963447306	0.722027777777778	0.493273227109481
2014-01-01	10	130.086999275437	158.058888888889	155.957157712728	1.07344444444444	0.393896645868951
2014-01-01	11	90.4649330660024	93.9110677446334	23.3709425712303	1.37655422358517	0.816430242474158
2014-01-01	12	85.2092420911784	86.0863888888889	12.5301096996244	2.90638888888889	0.717570740477733
2014-01-01	13	77.6526058017179	78.3083333333333	19.7705492576567	3.01730555555556	0.843320660910389
2014-01-01	14	74.6585360232319	74.6633333333333	22.611718015418	3.61572222222222	0.825471502540573
2014-01-01	15	55.1311445594686	58.2030683403068	25.2515810493794	3.83428172942817	1.21729729990882
2014-01-01	16	61.8741994841343	62.1097222222222	25.4522618365944	3.45697222222222	0.969926365242946
2014-01-01	17	64.5619736394879	68.0036111111111	49.6429568021476	2.94211111111111	1.0484744544969
2014-01-01	18	76.8660784467851	77.925	33.0796682035643	2.82711111111111	0.860573862626399
2014-01-01	19	106.618124426813	101.296944444444	65.4528108997526	2.60483333333333	1.09099930994661
2014-01-01	20	150.28130200125	151.173135995532	20.6363069949988	3.17171181234292	0.69628792417308
2014-01-01	21	139.627746733331	139.917222222222	7.14928987475787	2.64455555555556	0.53203914709324
2014-01-01	22	143.665541969293	143.479949874687	6.93914166284169	1.51448064605959	0.35481840716435
2014-01-01	23	126.55993992756	126.86463857103	21.4953109926264	0.947781188947809	0.37218320853858
2014-01-02	00	251.589641850266	238.636388888889	82.172622118321	0.266027777777778	0.122236268176157
2014-01-02	01	205.116096866097	196.886666666667	74.1905392218615	0.351	0.139717891450745
2014-01-02	02	157.716293450764	146.920533481523	114.873451013703	0.296554598499583	0.130140041965954
2014-01-02	03	124.153760798922	120.051532033426	138.871338537504	0.351448467966574	0.143754019621389
2014-01-02	04	237.276870720739	220.664444444444	156.762558551188	0.685638888888889	0.219782616688345
2014-01-02	05	142.725671352051	138.9375	155.735854176387	0.772694444444444	0.207383750507807
2014-01-02	06	145.069834749323	180.310373675404	122.815235306776	0.597378694924707	0.255219084234318
2014-01-02	07	108.112895493768	141.423055555556	137.629307393127	0.463555555555556	0.265009810661498
2014-01-02	08	264.949818160488	263.146944444444	144.211501914215	0.947111111111111	0.152090147763864
2014-01-02	09	59.6601438652712	61.4252713609797	108.311095837166	0.816392986362371	0.191919483847828
2014-01-02	10	57.1466574043805	54.5761111111111	110.661786007383	1.35955555555556	0.275069158945675
2014-01-02	11	38.8207891646694	37.7766666666667	13.0907495724225	1.72686111111111	0.623159703663476
2014-01-02	12	56.7942655983088	55.9755555555556	16.7871946798918	2.94325	0.728927543717479
2014-01-02	13	59.4302647809263	59.2815208275091	18.2096410144285	3.30897400055913	0.792099893456766
2014-01-02	14	75.1835290829797	76.0983333333333	19.6795471561514	3.77702777777778	1.05763478108156
2014-01-02	15	73.0881142568251	73.1083333333333	17.5742283179801	5.49444444444444	1.29719265228009
2014-01-02	16	70.7373886174188	71.4266666666667	17.2111629161048	5.41177777777778	1.17450936499633
2014-01-02	17	61.7703631268417	62.1891061452514	22.1477485261545	4.25617318435754	1.17509947652196
2014-01-02	18	61.0679342974469	61.5122222222222	17.8414294615047	4.6675	1.09578716626625
2014-01-02	19	83.120783091722	85.1760191846523	15.6006176510317	3.5400479616307	1.00750208850958
2014-01-02	20	115.268503169803	117.409722222222	17.6810419420725	2.19519444444444	0.522297185049533
2014-01-02	21	73.2199162266337	71.4912084845102	19.7283723297559	2.50533072843985	0.913159605047226
2014-01-02	22	126.248681364846	139.305277777778	38.6163635553363	1.78530555555556	0.740289112415407
2014-01-02	23	88.3142804291528	109.637222222222	145.299526041601	0.600666666666667	0.328069280222531
2014-01-03	00	176.98670151936	177.230125523013	162.458527628877	0.853695955369596	0.463865482045016
2014-01-03	01	126.441483455474	141.100555555556	135.541265788546	0.37525	0.189032998643811
2014-01-03	02	211.296890554547	209.5925	133.327161658764	0.474361111111111	0.166158507995407
2014-01-03	03	114.407021101936	137.363333333333	97.2167993399773	0.57525	0.314714959441121
2014-01-03	04	93.0453200849515	128.555462653289	130.970497620587	0.734894091415831	0.412121622679918
2014-01-03	05	256.034922722789	248.593055555556	109.629962899385	0.422361111111111	0.219518487529412
2014-01-03	06	128.478151260504	122.880277777778	160.461245936666	1.28916666666667	0.571927686104471
2014-01-03	07	205.517307006066	205.851521071728	168.25893923802	1.64245046050795	0.35829224763749
2014-01-03	08	94.1394224612626	81.3547222222222	109.605199744271	0.867666666666667	0.509906419670648
2014-01-03	09	284.181463919303	262.386944444444	142.842160237883	1.61097222222222	0.628559129146675
